"DateTime","Average Basefee","Price"
"2021-08-05 00:00:00",5.3e-8,2690.2700000000004
"2021-08-06 00:00:00",4.1e-8,2835.9
"2021-08-07 00:00:00",4.2e-8,3019.74
"2021-08-08 00:00:00",3.8e-8,3070.0150000000003
"2021-08-09 00:00:00",4.2e-8,3041.6899999999996
"2021-08-10 00:00:00",4.8e-8,3143.3900000000003
"2021-08-11 00:00:00",5.2e-8,3198.6499999999996
"2021-08-12 00:00:00",4.4e-8,3110.24
"2021-08-13 00:00:00",4.6e-8,3182.41
"2021-08-14 00:00:00",4e-8,3270.495
"2021-08-15 00:00:00",4.4e-8,3219.315
"2021-08-16 00:00:00",4.7e-8,3237.52
"2021-08-17 00:00:00",4.3e-8,3143.25
"2021-08-18 00:00:00",3.9e-8,3039.38
"2021-08-19 00:00:00",8e-8,3075.635
"2021-08-20 00:00:00",3.5e-8,3240.295
"2021-08-21 00:00:00",3e-8,3259.73
"2021-08-22 00:00:00",3.1e-8,3202.265
"2021-08-23 00:00:00",5.4e-8,3306.6400000000003
"2021-08-24 00:00:00",7e-8,3255.375
"2021-08-25 00:00:00",8.3e-8,3164.535
"2021-08-26 00:00:00",7.9e-8,3155.45
"2021-08-27 00:00:00",9.7e-8,3170.1400000000003
"2021-08-28 00:00:00",7.1e-8,3250.435
"2021-08-29 00:00:00",7.8e-8,3221.0299999999997
"2021-08-30 00:00:00",9.2e-8,3247.675
"2021-08-31 00:00:00",9.9e-8,3335.41
"2021-09-01 00:00:00",1.11e-7,3613.42
"2021-09-02 00:00:00",9.9e-8,3780.8050000000003
"2021-09-03 00:00:00",1.34e-7,3869.495
"2021-09-04 00:00:00",1.06e-7,3902.465
"2021-09-05 00:00:00",9.7e-8,3909.2799999999997
"2021-09-06 00:00:00",1.04e-7,3922.34
"2021-09-07 00:00:00",1.54e-7,3559.01
"2021-09-08 00:00:00",1.3e-7,3389.4
"2021-09-09 00:00:00",1.22e-7,3481.705
"2021-09-10 00:00:00",8.7e-8,3331.495
"2021-09-11 00:00:00",5.9e-8,3274.575
"2021-09-12 00:00:00",5.6e-8,3351.91
"2021-09-13 00:00:00",8e-8,3275.17
"2021-09-14 00:00:00",5.9e-8,3354.8450000000003
"2021-09-15 00:00:00",6.1e-8,3489.7799999999997
"2021-09-16 00:00:00",7.2e-8,3579.195
"2021-09-17 00:00:00",6.8e-8,3474.0299999999997
"2021-09-18 00:00:00",4.9e-8,3456.115
"2021-09-19 00:00:00",4.9e-8,3369.21
"2021-09-20 00:00:00",7.7e-8,3135.45
"2021-09-21 00:00:00",8.9e-8,2890.635
"2021-09-22 00:00:00",6.1e-8,2914.51
"2021-09-23 00:00:00",6.7e-8,3107.2749999999996
"2021-09-24 00:00:00",6.5e-8,2953
"2021-09-25 00:00:00",4.2e-8,2887.17
"2021-09-26 00:00:00",5.6e-8,2929.565
"2021-09-27 00:00:00",7.3e-8,3045.935
"2021-09-28 00:00:00",7.9e-8,2880.835
"2021-09-29 00:00:00",7.1e-8,2866.88
"2021-09-30 00:00:00",9e-8,2943.53
"2021-10-01 00:00:00",7.9e-8,3151.66
"2021-10-02 00:00:00",5.6e-8,3364.805
"2021-10-03 00:00:00",5.6e-8,3416.6949999999997
"2021-10-04 00:00:00",9e-8,3359.58
"2021-10-05 00:00:00",1.09e-7,3456.34
"2021-10-06 00:00:00",1.28e-7,3485.92
"2021-10-07 00:00:00",1.28e-7,3518.87
"2021-10-08 00:00:00",1.09e-7,3602.725
"2021-10-09 00:00:00",7.3e-8,3586.57
"2021-10-10 00:00:00",7.2e-8,3507.325
"2021-10-11 00:00:00",9.6e-8,3498.545
"2021-10-12 00:00:00",8.2e-8,3476.55
"2021-10-13 00:00:00",9e-8,3513.34
"2021-10-14 00:00:00",1.19e-7,3707.865
"2021-10-15 00:00:00",1.22e-7,3818.6549999999997
"2021-10-16 00:00:00",7.9e-8,3886.2349999999997
"2021-10-17 00:00:00",6.9e-8,3784.715
"2021-10-18 00:00:00",8.4e-8,3785.895
"2021-10-19 00:00:00",6.7e-8,3811.0699999999997
"2021-10-20 00:00:00",7.4e-8,3999.345
"2021-10-21 00:00:00",8.4e-8,4194.225
"2021-10-22 00:00:00",7.7e-8,4030.285
"2021-10-23 00:00:00",5.9e-8,4054.8
"2021-10-24 00:00:00",6.7e-8,4074.535
"2021-10-25 00:00:00",8.8e-8,4152.625
"2021-10-26 00:00:00",1.13e-7,4194.795
"2021-10-27 00:00:00",1.52e-7,4115.31
"2021-10-28 00:00:00",1.73e-7,4095.745
"2021-10-29 00:00:00",1.6e-7,4364.174999999999
"2021-10-30 00:00:00",1.48e-7,4337.555
"2021-10-31 00:00:00",1.36e-7,4283.129999999999
"2021-11-01 00:00:00",1.46e-7,4268.505
"2021-11-02 00:00:00",1.6e-7,4445.610000000001
"2021-11-03 00:00:00",1.48e-7,4563.375
"2021-11-04 00:00:00",1.33e-7,4515.995
"2021-11-05 00:00:00",1.22e-7,4510.03
"2021-11-06 00:00:00",1.01e-7,4431.455
"2021-11-07 00:00:00",9e-8,4572.860000000001
"2021-11-08 00:00:00",1.13e-7,4720.29
"2021-11-09 00:00:00",1.6e-7,4775.5599999999995
"2021-11-10 00:00:00",1.52e-7,4677.075
"2021-11-11 00:00:00",1.46e-7,4680.32
"2021-11-12 00:00:00",1.37e-7,4659.09
"2021-11-13 00:00:00",1.21e-7,4646.530000000001
"2021-11-14 00:00:00",1.05e-7,4605.9400000000005
"2021-11-15 00:00:00",1.39e-7,4656.085
"2021-11-16 00:00:00",1.31e-7,4341.9400000000005
"2021-11-17 00:00:00",1.21e-7,4185.79
"2021-11-18 00:00:00",1.31e-7,4153.425
"2021-11-19 00:00:00",1.12e-7,4144.875
"2021-11-20 00:00:00",9.7e-8,4323.33
"2021-11-21 00:00:00",9.8e-8,4338.13
"2021-11-22 00:00:00",1.34e-7,4171.805
"2021-11-23 00:00:00",1.22e-7,4226.295
"2021-11-24 00:00:00",1.19e-7,4271.355
"2021-11-25 00:00:00",1.13e-7,4401.985000000001
"2021-11-26 00:00:00",1.03e-7,4239.07
"2021-11-27 00:00:00",1e-7,4109.405
"2021-11-28 00:00:00",1.03e-7,4134.245
"2021-11-29 00:00:00",1.13e-7,4372.555
"2021-11-30 00:00:00",1.22e-7,4554.27
"2021-12-01 00:00:00",1.27e-7,4654.8
"2021-12-02 00:00:00",1.02e-7,4536.16
"2021-12-03 00:00:00",1e-7,4374.3
"2021-12-04 00:00:00",1.34e-7,3965.26
"2021-12-05 00:00:00",9.6e-8,4147.5
"2021-12-06 00:00:00",9.7e-8,4149.85
"2021-12-07 00:00:00",8.5e-8,4346.08
"2021-12-08 00:00:00",7.3e-8,4342.584999999999
"2021-12-09 00:00:00",7.6e-8,4283.6
"2021-12-10 00:00:00",7.4e-8,4059.81
"2021-12-11 00:00:00",6.8e-8,3967.42
"2021-12-12 00:00:00",5.6e-8,4084.83
"2021-12-13 00:00:00",7.3e-8,3908.795
"2021-12-14 00:00:00",7.1e-8,3785.215
"2021-12-15 00:00:00",8e-8,3873.3
"2021-12-16 00:00:00",8.9e-8,4033.585
"2021-12-17 00:00:00",8.5e-8,3848.1800000000003
"2021-12-18 00:00:00",5.9e-8,3883.925
"2021-12-19 00:00:00",4.9e-8,3960.145
"2021-12-20 00:00:00",6e-8,3869.3450000000003
"2021-12-21 00:00:00",6.1e-8,3987.665
"2021-12-22 00:00:00",7.1e-8,4007.9300000000003
"2021-12-23 00:00:00",7.3e-8,4025.8050000000003
"2021-12-24 00:00:00",6.4e-8,4076.1000000000004
"2021-12-25 00:00:00",6.5e-8,4082.56
"2021-12-26 00:00:00",5.1e-8,4057.3
"2021-12-27 00:00:00",7.2e-8,4079.46
"2021-12-28 00:00:00",9.4e-8,3899.745
"2021-12-29 00:00:00",1.14e-7,3716.1
"2021-12-30 00:00:00",1.01e-7,3678.96
"2021-12-31 00:00:00",8.7e-8,3718.08
"2022-01-01 00:00:00",7.3e-8,3726.105
"2022-01-02 00:00:00",9e-8,3786.465
"2022-01-03 00:00:00",9.7e-8,3766.665
"2022-01-04 00:00:00",1.18e-7,3803.115
"2022-01-05 00:00:00",1.33e-7,3636.21
"2022-01-06 00:00:00",1.23e-7,3424.71
"2022-01-07 00:00:00",1.36e-7,3248.27
"2022-01-08 00:00:00",1.07e-7,3123.79
"2022-01-09 00:00:00",1.41e-7,3135.08
"2022-01-10 00:00:00",2.01e-7,3054.9300000000003
"2022-01-11 00:00:00",1.68e-7,3159.24
"2022-01-12 00:00:00",1.71e-7,3311.69
"2022-01-13 00:00:00",1.53e-7,3323.645
"2022-01-14 00:00:00",1.75e-7,3267.645
"2022-01-15 00:00:00",1.21e-7,3317.575
"2022-01-16 00:00:00",1.22e-7,3334.08
"2022-01-17 00:00:00",1.27e-7,3250.885
"2022-01-18 00:00:00",1.09e-7,3164.825
"2022-01-19 00:00:00",1.16e-7,3111.62
"2022-01-20 00:00:00",1.28e-7,3130.01
"2022-01-21 00:00:00",1.67e-7,2753.46
"2022-01-22 00:00:00",1.47e-7,2466.1850000000004
"2022-01-23 00:00:00",1.14e-7,2461.135
"2022-01-24 00:00:00",1.25e-7,2351.2200000000003
"2022-01-25 00:00:00",1.26e-7,2430
"2022-01-26 00:00:00",1.31e-7,2563.0699999999997
"2022-01-27 00:00:00",1.41e-7,2418.77
"2022-01-28 00:00:00",1.27e-7,2459.32
"2022-01-29 00:00:00",1.05e-7,2579.92
"2022-01-30 00:00:00",1.04e-7,2592.2
"2022-01-31 00:00:00",1.1e-7,2593.4700000000003
"2022-02-01 00:00:00",1.38e-7,2745.5150000000003
"2022-02-02 00:00:00",1.36e-7,2713.2349999999997
"2022-02-03 00:00:00",1.09e-7,2651.4350000000004
"2022-02-04 00:00:00",9.8e-8,2835.95
"2022-02-05 00:00:00",7e-8,3012.585
"2022-02-06 00:00:00",6.7e-8,3014.125
"2022-02-07 00:00:00",1.06e-7,3094.27
"2022-02-08 00:00:00",8.2e-8,3131.09
"2022-02-09 00:00:00",8.5e-8,3165.275
"2022-02-10 00:00:00",8.6e-8,3171.4300000000003
"2022-02-11 00:00:00",6.7e-8,3010.115
"2022-02-12 00:00:00",6e-8,2923.035
"2022-02-13 00:00:00",5e-8,2896.815
"2022-02-14 00:00:00",5.4e-8,2899.1099999999997
"2022-02-15 00:00:00",6e-8,3055.435
"2022-02-16 00:00:00",7.3e-8,3117.41
"2022-02-17 00:00:00",6.7e-8,3008.265
"2022-02-18 00:00:00",9.1e-8,2849.435
"2022-02-19 00:00:00",6e-8,2765.59
"2022-02-20 00:00:00",6.2e-8,2670.9700000000003
"2022-02-21 00:00:00",8.4e-8,2660.51
"2022-02-22 00:00:00",7.9e-8,2584.4049999999997
"2022-02-23 00:00:00",7.5e-8,2666.6099999999997
"2022-02-24 00:00:00",8.1e-8,2505.15
"2022-02-25 00:00:00",5.3e-8,2705.0950000000003
"2022-02-26 00:00:00",4.2e-8,2801.575
"2022-02-27 00:00:00",3.9e-8,2698.125
"2022-02-28 00:00:00",6.4e-8,2758.42
"2022-03-01 00:00:00",5.4e-8,2948.475
"2022-03-02 00:00:00",5e-8,2976.05
"2022-03-03 00:00:00",4.4e-8,2880.9449999999997
"2022-03-04 00:00:00",4.3e-8,2706.305
"2022-03-05 00:00:00",3.2e-8,2637.1549999999997
"2022-03-06 00:00:00",4.5e-8,2612.8450000000003
"2022-03-07 00:00:00",3.6e-8,2548.4350000000004
"2022-03-08 00:00:00",3.4e-8,2555.04
"2022-03-09 00:00:00",3.4e-8,2669.79
"2022-03-10 00:00:00",3e-8,2649.6899999999996
"2022-03-11 00:00:00",2.8e-8,2597.8100000000004
"2022-03-12 00:00:00",2.1e-8,2584.165
"2022-03-13 00:00:00",2.5e-8,2550.24
"2022-03-14 00:00:00",2.8e-8,2556.01
"2022-03-15 00:00:00",3.4e-8,2590.4
"2022-03-16 00:00:00",3.6e-8,2697.535
"2022-03-17 00:00:00",5.8e-8,2792.795
"2022-03-18 00:00:00",5.4e-8,2874.815
"2022-03-19 00:00:00",2.8e-8,2945.16
"2022-03-20 00:00:00",2.3e-8,2892.0299999999997
"2022-03-21 00:00:00",3e-8,2897.5550000000003
"2022-03-22 00:00:00",3.7e-8,2969.05
"2022-03-23 00:00:00",3.4e-8,2982.675
"2022-03-24 00:00:00",4.6e-8,3066.8500000000004
"2022-03-25 00:00:00",4.2e-8,3137.42
"2022-03-26 00:00:00",2.9e-8,3120.125
"2022-03-27 00:00:00",3.9e-8,3213.675
"2022-03-28 00:00:00",6.5e-8,3355.215
"2022-03-29 00:00:00",4.2e-8,3406.89
"2022-03-30 00:00:00",4.9e-8,3392.42
"2022-03-31 00:00:00",4.8e-8,3353.79
"2022-04-01 00:00:00",6.1e-8,3347.8999999999996
"2022-04-02 00:00:00",5e-8,3483.4
"2022-04-03 00:00:00",4.7e-8,3497.5
"2022-04-04 00:00:00",6e-8,3477.675
"2022-04-05 00:00:00",8.2e-8,3475.285
"2022-04-06 00:00:00",5.4e-8,3285.025
"2022-04-07 00:00:00",6e-8,3206.54
"2022-04-08 00:00:00",5.2e-8,3243.825
"2022-04-09 00:00:00",3.3e-8,3225.965
"2022-04-10 00:00:00",3.3e-8,3250.425
"2022-04-11 00:00:00",4.3e-8,3082.72
"2022-04-12 00:00:00",4.4e-8,3019.045
"2022-04-13 00:00:00",4.4e-8,3063.58
"2022-04-14 00:00:00",5.7e-8,3060.56
"2022-04-15 00:00:00",4.6e-8,3026.355
"2022-04-16 00:00:00",3.3e-8,3048.87
"2022-04-17 00:00:00",2.8e-8,3032.415
"2022-04-18 00:00:00",4.1e-8,2976.935
"2022-04-19 00:00:00",5e-8,3081.185
"2022-04-20 00:00:00",8.5e-8,3101.8450000000003
"2022-04-21 00:00:00",7e-8,3061.315
"2022-04-22 00:00:00",5.8e-8,2983.48
"2022-04-23 00:00:00",3.6e-8,2948.365
"2022-04-24 00:00:00",3.7e-8,2940.255
"2022-04-25 00:00:00",6.1e-8,2912.365
"2022-04-26 00:00:00",5.4e-8,2902.915
"2022-04-27 00:00:00",5.8e-8,2857.4849999999997
"2022-04-28 00:00:00",5.8e-8,2917.46
"2022-04-29 00:00:00",5.7e-8,2861.075
"2022-04-30 00:00:00",5.5e-8,2779.66
"2022-05-01 00:00:00",4.99e-7,2782.965
"2022-05-02 00:00:00",7.7e-8,2830.035
"2022-05-03 00:00:00",6.9e-8,2807.91
"2022-05-04 00:00:00",5.6e-8,2869.295
"2022-05-05 00:00:00",6.7e-8,2822.5699999999997
"2022-05-06 00:00:00",5e-8,2695.525
"2022-05-07 00:00:00",3.7e-8,2646.605
"2022-05-08 00:00:00",2.9e-8,2563.88
"2022-05-09 00:00:00",7.2e-8,2376.94
"2022-05-10 00:00:00",6.7e-8,2328.8450000000003
"2022-05-11 00:00:00",1.64e-7,2227.0299999999997
"2022-05-12 00:00:00",2.37e-7,1947.415
"2022-05-13 00:00:00",8.7e-8,2039.855
"2022-05-14 00:00:00",4e-8,2006.925
"2022-05-15 00:00:00",2.6e-8,2079.585
"2022-05-16 00:00:00",2.7e-8,2060.52
"2022-05-17 00:00:00",3.8e-8,2062.945
"2022-05-18 00:00:00",3.1e-8,2007.195
"2022-05-19 00:00:00",2.9e-8,1969.915
"2022-05-20 00:00:00",3.2e-8,1991.21
"2022-05-21 00:00:00",2.3e-8,1961.83
"2022-05-22 00:00:00",2.5e-8,2008.6699999999998
"2022-05-23 00:00:00",2.9e-8,2020.855
"2022-05-24 00:00:00",3.3e-8,1950.8049999999998
"2022-05-25 00:00:00",4e-8,1976.525
"2022-05-26 00:00:00",5.2e-8,1852.365
"2022-05-27 00:00:00",4.6e-8,1763.655
"2022-05-28 00:00:00",2.3e-8,1764.17
"2022-05-29 00:00:00",2.2e-8,1793.8400000000001
"2022-05-30 00:00:00",3.7e-8,1906.92
"2022-05-31 00:00:00",5.7e-8,1970.1
"2022-06-01 00:00:00",6.3e-8,1867.945
"2022-06-02 00:00:00",6.9e-8,1816.95
"2022-06-03 00:00:00",6.8e-8,1789.75
"2022-06-04 00:00:00",6.3e-8,1780.88
"2022-06-05 00:00:00",6.2e-8,1800.095
"2022-06-06 00:00:00",6e-8,1860.8449999999998
"2022-06-07 00:00:00",6.4e-8,1798.8049999999998
