"DateTime","Number of Large Transactions","Price"
"2015-08-03 00:00:00",10,1.54
"2015-08-10 00:00:00",39,1.36
"2015-08-17 00:00:00",15,1.36
"2015-08-24 00:00:00",0,1.23
"2015-08-31 00:00:00",9,1.28
"2015-09-07 00:00:00",2,1.16
"2015-09-14 00:00:00",4,0.892679
"2015-09-21 00:00:00",0,0.8153
"2015-09-28 00:00:00",1,0.646314
"2015-10-05 00:00:00",0,0.622679
"2015-10-12 00:00:00",1,0.559836
"2015-10-19 00:00:00",1,0.518007
"2015-10-26 00:00:00",10,0.946793
"2015-11-02 00:00:00",5,0.933186
"2015-11-09 00:00:00",5,0.893357
"2015-11-16 00:00:00",4,0.925807
"2015-11-23 00:00:00",4,0.894679
"2015-11-30 00:00:00",0,0.845764
"2015-12-07 00:00:00",1,0.852571
"2015-12-14 00:00:00",6,0.943014
"2015-12-21 00:00:00",0,0.9146
"2015-12-28 00:00:00",2,0.914421
"2016-01-04 00:00:00",2,0.959543
"2016-01-11 00:00:00",5,1.18
"2016-01-18 00:00:00",20,1.52
"2016-01-25 00:00:00",23,2.43
"2016-02-01 00:00:00",13,2.47
"2016-02-08 00:00:00",63,4.48
"2016-02-15 00:00:00",22,4.46
"2016-02-22 00:00:00",47,5.91
"2016-02-29 00:00:00",171,8.81
"2016-03-07 00:00:00",164,11.25
"2016-03-14 00:00:00",157,11.4
"2016-03-21 00:00:00",83,11.21
"2016-03-28 00:00:00",77,11.51
"2016-04-04 00:00:00",71,10.11
"2016-04-11 00:00:00",50,8.38
"2016-04-18 00:00:00",35,8.45
"2016-04-25 00:00:00",69,7.85
"2016-05-02 00:00:00",120,9.46
"2016-05-09 00:00:00",330,9.95
"2016-05-16 00:00:00",193,13.03
"2016-05-23 00:00:00",196,12.3
"2016-05-30 00:00:00",69,13.5
"2016-06-06 00:00:00",109,14.28
"2016-06-13 00:00:00",815,16.33
"2016-06-20 00:00:00",284,13.29
"2016-06-27 00:00:00",83,12.51
"2016-07-04 00:00:00",126,10.73
"2016-07-11 00:00:00",120,11.13
"2016-07-18 00:00:00",755,12.76
"2016-07-25 00:00:00",1812,12.71
"2016-08-01 00:00:00",1191,10.45
"2016-08-08 00:00:00",540,11.72
"2016-08-15 00:00:00",549,11.03
"2016-08-22 00:00:00",664,11.16
"2016-08-29 00:00:00",244,11.63
"2016-09-05 00:00:00",124,11.67
"2016-09-12 00:00:00",114,12.19
"2016-09-19 00:00:00",905,13.28
"2016-09-26 00:00:00",268,13.18
"2016-10-03 00:00:00",307,12.9
"2016-10-10 00:00:00",541,11.92
"2016-10-17 00:00:00",284,12.11
"2016-10-24 00:00:00",193,11.26
"2016-10-31 00:00:00",637,10.99
"2016-11-07 00:00:00",465,10.48
"2016-11-14 00:00:00",114,9.88
"2016-11-21 00:00:00",130,9.47
"2016-11-28 00:00:00",96,8.18
"2016-12-05 00:00:00",171,7.89
"2016-12-12 00:00:00",76,8.06
"2016-12-19 00:00:00",112,7.52
"2016-12-26 00:00:00",124,7.76
"2017-01-02 00:00:00",238,9.65
"2017-01-09 00:00:00",149,9.99
"2017-01-16 00:00:00",109,10.36
"2017-01-23 00:00:00",105,10.59
"2017-01-30 00:00:00",165,10.83
"2017-02-06 00:00:00",168,11.28
"2017-02-13 00:00:00",377,12.64
"2017-02-20 00:00:00",508,13.05
"2017-02-27 00:00:00",5456,17.64
"2017-03-06 00:00:00",8833,19.2
"2017-03-13 00:00:00",9062,35.74
"2017-03-20 00:00:00",15006,45.44
"2017-03-27 00:00:00",17004,50.45
"2017-04-03 00:00:00",10705,44.18
"2017-04-10 00:00:00",6459,47.54
"2017-04-17 00:00:00",10683,48.56
"2017-04-24 00:00:00",21090,60.58
"2017-05-01 00:00:00",37953,83.73
"2017-05-08 00:00:00",36490,86.56
"2017-05-15 00:00:00",39988,104.16
"2017-05-22 00:00:00",63722,168.13
"2017-05-29 00:00:00",70319,216.83
"2017-06-05 00:00:00",94851,275.86
"2017-06-12 00:00:00",120090,351.52
"2017-06-19 00:00:00",71008,312.53
"2017-06-26 00:00:00",69091,275.17
"2017-07-03 00:00:00",62501,259.89
"2017-07-10 00:00:00",80606,193.58
"2017-07-17 00:00:00",69955,213.77
"2017-07-24 00:00:00",78798,204.58
"2017-07-31 00:00:00",57259,226.15
"2017-08-07 00:00:00",110521,294.11
"2017-08-14 00:00:00",120065,294.86
"2017-08-21 00:00:00",85258,324.93
"2017-08-28 00:00:00",134620,367.62
"2017-09-04 00:00:00",107877,312.31
"2017-09-11 00:00:00",88700,267.55
"2017-09-18 00:00:00",71039,277.7
"2017-09-25 00:00:00",61634,296.65
"2017-10-02 00:00:00",76917,299.7
"2017-10-09 00:00:00",91439,313.92
"2017-10-16 00:00:00",96004,311.44
"2017-10-23 00:00:00",90742,294.64
"2017-10-30 00:00:00",96082,298.46
"2017-11-06 00:00:00",103246,305.66
"2017-11-13 00:00:00",121617,332.44
"2017-11-20 00:00:00",155759,409.66
"2017-11-27 00:00:00",250428,457.44
"2017-12-04 00:00:00",54984,448.22
"2017-12-11 00:00:00",40365,644.9
"2017-12-18 00:00:00",21173,731.5
"2017-12-25 00:00:00",33923,720.52
"2018-01-01 00:00:00",38555,919.17
"2018-01-08 00:00:00",340326,1241.16
"2018-01-15 00:00:00",115872,1082.08
"2018-01-22 00:00:00",59260,1045.36
"2018-01-29 00:00:00",71992,1015.95
"2018-02-05 00:00:00",15845,788.95
"2018-02-12 00:00:00",16135,903.27
"2018-02-19 00:00:00",10068,865.15
"2018-02-26 00:00:00",11069,863.46
"2018-03-05 00:00:00",10496,755.96
"2018-03-12 00:00:00",10028,619.47
"2018-03-19 00:00:00",8985,539.58
"2018-03-26 00:00:00",8456,429.46
"2018-04-02 00:00:00",5051,387.51
"2018-04-09 00:00:00",7523,459.74
"2018-04-16 00:00:00",9190,556.93
"2018-04-23 00:00:00",12971,657.93
"2018-04-30 00:00:00",13669,731.85
"2018-05-07 00:00:00",13374,720.13
"2018-05-14 00:00:00",11514,699.35
"2018-05-21 00:00:00",12071,616.18
"2018-05-28 00:00:00",11259,569.38
"2018-06-04 00:00:00",11293,593.67
"2018-06-11 00:00:00",16103,500.07
"2018-06-18 00:00:00",9320,500.8
"2018-06-25 00:00:00",7217,441.59
"2018-07-02 00:00:00",6264,471.36
"2018-07-09 00:00:00",5335,443.95
"2018-07-16 00:00:00",6833,469.98
"2018-07-23 00:00:00",5995,466.88
"2018-07-30 00:00:00",5691,423.39
"2018-08-06 00:00:00",5789,358.17
"2018-08-13 00:00:00",5873,292.85
"2018-08-20 00:00:00",4118,278.3
"2018-08-27 00:00:00",3975,287.08
"2018-09-03 00:00:00",5811,240.09
"2018-09-10 00:00:00",5092,200.67
"2018-09-17 00:00:00",4758,223.09
"2018-09-24 00:00:00",3843,224.32
"2018-10-01 00:00:00",2405,224.99
"2018-10-08 00:00:00",3818,210.98
"2018-10-15 00:00:00",4027,207.22
"2018-10-22 00:00:00",2576,203.19
"2018-10-29 00:00:00",2670,199.7
"2018-11-05 00:00:00",3093,213
"2018-11-12 00:00:00",3952,187.83
"2018-11-19 00:00:00",5554,130.72
"2018-11-26 00:00:00",5396,115.18
"2018-12-03 00:00:00",3137,99.99
"2018-12-10 00:00:00",1739,87.78
"2018-12-17 00:00:00",3797,108.21
"2018-12-24 00:00:00",3984,134.85
"2018-12-31 00:00:00",4002,149.37
"2019-01-07 00:00:00",3091,138.96
"2019-01-14 00:00:00",2303,123.07
"2019-01-21 00:00:00",1626,116.63
"2019-01-28 00:00:00",1978,107.53
"2019-02-04 00:00:00",1599,111.11
"2019-02-11 00:00:00",1867,123.76
"2019-02-18 00:00:00",3342,147.8
"2019-02-25 00:00:00",2643,135.81
"2019-03-04 00:00:00",2739,135.25
"2019-03-11 00:00:00",2737,135.88
"2019-03-18 00:00:00",2687,137.9
"2019-03-25 00:00:00",2884,138.91
"2019-04-01 00:00:00",4212,160.59
"2019-04-08 00:00:00",4180,171.51
"2019-04-15 00:00:00",3155,169.05
"2019-04-22 00:00:00",3757,162.8
"2019-04-29 00:00:00",2885,162.23
"2019-05-06 00:00:00",5011,177.13
"2019-05-13 00:00:00",8065,233.5
"2019-05-20 00:00:00",5728,251.14
"2019-05-27 00:00:00",6265,266.9
"2019-06-03 00:00:00",4730,245.68
"2019-06-10 00:00:00",5328,255.93
"2019-06-17 00:00:00",6439,282.62
"2019-06-24 00:00:00",7778,311.09
"2019-07-01 00:00:00",4837,291.41
"2019-07-08 00:00:00",5354,283.05
"2019-07-15 00:00:00",4478,218.31
"2019-07-22 00:00:00",2716,214.29
"2019-07-29 00:00:00",2685,215.62
"2019-08-05 00:00:00",3862,220.14
"2019-08-12 00:00:00",3448,193.89
"2019-08-19 00:00:00",3140,192.31
"2019-08-26 00:00:00",3141,176.13
"2019-09-02 00:00:00",3031,176.13
"2019-09-09 00:00:00",2371,181.96
"2019-09-16 00:00:00",3662,210.24
"2019-09-23 00:00:00",3640,175.32
"2019-09-30 00:00:00",2284,175.79
"2019-10-07 00:00:00",2581,184.08
"2019-10-14 00:00:00",2396,177.07
"2019-10-21 00:00:00",3365,173.85
"2019-10-28 00:00:00",2438,184.12
"2019-11-04 00:00:00",2528,187.01
"2019-11-11 00:00:00",2084,184.66
"2019-11-18 00:00:00",3442,163.53
"2019-11-25 00:00:00",2602,149.61
"2019-12-02 00:00:00",1973,148.48
"2019-12-09 00:00:00",1562,144.73
"2019-12-16 00:00:00",2613,129.22
"2019-12-23 00:00:00",1943,128.42
"2019-12-30 00:00:00",1969,132.05
"2020-01-06 00:00:00",2217,141.76
"2020-01-13 00:00:00",3272,162.86
"2020-01-20 00:00:00",1729,163.99
"2020-01-27 00:00:00",2497,177.79
"2020-02-03 00:00:00",3599,207.33
"2020-02-10 00:00:00",6222,254.28
"2020-02-17 00:00:00",5295,263.74
"2020-02-24 00:00:00",5284,235.76
"2020-03-02 00:00:00",4714,229.35
"2020-03-09 00:00:00",9227,159.39
"2020-03-16 00:00:00",5416,123.95
"2020-03-23 00:00:00",3456,133.6
"2020-03-30 00:00:00",2707,138.2
"2020-04-06 00:00:00",3976,163.64
"2020-04-13 00:00:00",3725,166.82
"2020-04-20 00:00:00",4066,183.91
"2020-04-27 00:00:00",4811,207.03
"2020-05-04 00:00:00",5415,205.72
"2020-05-11 00:00:00",4615,195.93
"2020-05-18 00:00:00",3999,207.55
"2020-05-25 00:00:00",4875,215.96
"2020-06-01 00:00:00",4417,240.99
"2020-06-08 00:00:00",3922,239.47
"2020-06-15 00:00:00",4746,229.81
"2020-06-22 00:00:00",8141,232.59
"2020-06-29 00:00:00",4289,226.89
"2020-07-06 00:00:00",5512,239.87
"2020-07-13 00:00:00",5752,236.98
"2020-07-20 00:00:00",11153,269.55
"2020-07-27 00:00:00",14936,339.15
"2020-08-03 00:00:00",11997,389.87
"2020-08-10 00:00:00",16896,407.22
"2020-08-17 00:00:00",14488,408.75
"2020-08-24 00:00:00",17186,394.45
"2020-08-31 00:00:00",43547,403.65
"2020-09-07 00:00:00",33204,357.93
"2020-09-14 00:00:00",32020,375.53
"2020-09-21 00:00:00",19842,344.99
"2020-09-28 00:00:00",17899,353.07
"2020-10-05 00:00:00",15727,354.8
"2020-10-12 00:00:00",15490,375.59
"2020-10-19 00:00:00",16367,396.71
"2020-10-26 00:00:00",15631,391.66
"2020-11-02 00:00:00",22313,414.89
"2020-11-09 00:00:00",18101,457.65
"2020-11-16 00:00:00",26628,495.88
"2020-11-23 00:00:00",30585,560.61
"2020-11-30 00:00:00",23422,597.01
"2020-12-07 00:00:00",20630,567.11
"2020-12-14 00:00:00",28263,625.68
"2020-12-21 00:00:00",28014,620.5
"2020-12-28 00:00:00",37856,754.61
"2021-01-04 00:00:00",78464,1158.17
"2021-01-11 00:00:00",69106,1142.29
"2021-01-18 00:00:00",67646,1261.97
"2021-01-25 00:00:00",69976,1334.89
"2021-02-01 00:00:00",77773,1566.77
"2021-02-08 00:00:00",67362,1772.33
"2021-02-15 00:00:00",70726,1859.1
"2021-02-22 00:00:00",82445,1539.55
"2021-03-01 00:00:00",64941,1561.19
"2021-03-08 00:00:00",58473,1814.04
"2021-03-15 00:00:00",47188,1797.37
"2021-03-22 00:00:00",45764,1669.35
"2021-03-29 00:00:00",64980,1933.08
"2021-04-05 00:00:00",59882,2078.92
"2021-04-12 00:00:00",75420,2315.08
"2021-04-19 00:00:00",75649,2286.5
"2021-04-26 00:00:00",74554,2706.4
"2021-05-03 00:00:00",130556,3496.5
"2021-05-10 00:00:00",138475,3892.46
"2021-05-17 00:00:00",139151,2705.26
"2021-05-24 00:00:00",81397,2537.87
"2021-05-31 00:00:00",55745,2665.65
"2021-06-07 00:00:00",52880,2488.06
"2021-06-14 00:00:00",44060,2368.97
"2021-06-21 00:00:00",58155,1914.3
"2021-06-28 00:00:00",42709,2161.63
"2021-07-05 00:00:00",41946,2206.87
"2021-07-12 00:00:00",35497,1957.52
"2021-07-19 00:00:00",36961,1986.37
"2021-07-26 00:00:00",44685,2379.74
"2021-08-02 00:00:00",55305,2765.26
"2021-08-09 00:00:00",52326,3166.6
"2021-08-16 00:00:00",55913,3171.15
"2021-08-23 00:00:00",58809,3217.66
"2021-08-30 00:00:00",73332,3665.51
"2021-09-06 00:00:00",67183,3472.92
"2021-09-13 00:00:00",49418,3428.34
"2021-09-20 00:00:00",54398,2973.94
"2021-09-27 00:00:00",44428,3095.76
"2021-10-04 00:00:00",55825,3502.48
"2021-10-11 00:00:00",63800,3669.42
"2021-10-18 00:00:00",60988,3992.88
"2021-10-25 00:00:00",71179,4220.48
"2021-11-01 00:00:00",71035,4472.55
"2021-11-08 00:00:00",69450,4680.69
"2021-11-15 00:00:00",70711,4306.23
"2021-11-22 00:00:00",69537,4222.02
"2021-11-29 00:00:00",79152,4372.12
"2021-12-06 00:00:00",60149,4176.31
"2021-12-13 00:00:00",54756,3899.02
"2021-12-20 00:00:00",48002,4015.24
"2021-12-27 00:00:00",51451,3800.7
"2022-01-03 00:00:00",59206,3448.26
"2022-01-10 00:00:00",50328,3252.69
"2022-01-17 00:00:00",59927,2905.45
"2022-01-24 00:00:00",54212,2484.93
"2022-01-31 00:00:00",44735,2795.19
"2022-02-07 00:00:00",45660,3056
"2022-02-14 00:00:00",37039,2909.46
"2022-02-21 00:00:00",42416,2660.21
"2022-02-28 00:00:00",35223,2788.6
"2022-03-07 00:00:00",31677,2593.6
"2022-03-14 00:00:00",43179,2764.11
"2022-03-21 00:00:00",42886,3055.34
"2022-03-28 00:00:00",50424,3405.3
"2022-04-04 00:00:00",41949,3309.25
"2022-04-11 00:00:00",40640,3047.65
"2022-04-18 00:00:00",42426,3013.34
"2022-04-25 00:00:00",52371,2859.13
"2022-05-02 00:00:00",47654,2747.97
"2022-05-09 00:00:00",72635,2143.8
"2022-05-16 00:00:00",31695,2008.9
"2022-05-23 00:00:00",30295,1874.6
"2022-05-30 00:00:00",25167,1847.52
"2022-06-06 00:00:00",30823,1724.18
"2022-06-13 00:00:00",52182,1125.7
"2022-06-20 00:00:00",23868,1154.83
"2022-06-27 00:00:00",24121,1107.01
"2022-07-04 00:00:00",19536,1175.41
"2022-07-11 00:00:00",23065,1182.87
"2022-07-18 00:00:00",26077,1549.01
"2022-07-25 00:00:00",25752,1611.94
"2022-08-01 00:00:00",22444,1660.77
"2022-08-08 00:00:00",28621,1859.4
"2022-08-15 00:00:00",25706,1783.61
"2022-08-22 00:00:00",21088,1583.2
"2022-08-29 00:00:00",20594,1553.96
"2022-09-05 00:00:00",24847,1658.55
"2022-09-12 00:00:00",33834,1548.89
"2022-09-19 00:00:00",23154,1318.41
"2022-09-26 00:00:00",18743,1321.02
"2022-10-03 00:00:00",14401,1332.41
"2022-10-10 00:00:00",15014,1289.91
"2022-10-17 00:00:00",14293,1306.13
"2022-10-24 00:00:00",25785,1512.77
"2022-10-31 00:00:00",20350,1589.07
"2022-11-07 00:00:00",44837,1310.44
"2022-11-14 00:00:00",23336,1218.3
"2022-11-21 00:00:00",22372,1169.06
"2022-11-28 00:00:00",20150,1246.51
"2022-12-05 00:00:00",14698,1265.21
"2022-12-12 00:00:00",20192,1250.4
"2022-12-19 00:00:00",12953,1205.97
"2022-12-26 00:00:00",12940,1203.13
"2023-01-02 00:00:00",13179,1243.84
"2023-01-09 00:00:00",23532,1414.99
"2023-01-16 00:00:00",21812,1588.18
"2023-01-23 00:00:00",20568,1596.64
"2023-01-30 00:00:00",19627,1630.77
"2023-02-06 00:00:00",22067,1586.68
"2023-02-13 00:00:00",26571,1627.74
"2023-02-20 00:00:00",21925,1639.1
"2023-02-27 00:00:00",20483,1610.83
"2023-03-06 00:00:00",36547,1506.87
"2023-03-13 00:00:00",38531,1718.79
"2023-03-20 00:00:00",27443,1771.64
"2023-03-27 00:00:00",23271,1788.71
"2023-04-03 00:00:00",22482,1858.78
"2023-04-10 00:00:00",22904,1944.17